"startdate","enddate","status","ipaddress","progress","duration__in_seconds_","finished","recordeddate","responseid","recipientlastname","recipientfirstname","recipientemail","externalreference","locationlatitude","locationlongitude","distributionchannel","userlanguage","first_click","last_click","page_submit","click_count","consent_form","citizenship","techphi_enth","techphi_dep","techphi_techrep","techphi_eou","exp_g_phi","exp_g_sci","exp_g_pol","exp_g_inf","exp_o_phi","exp_o_sci","exp_o_pol","exp_o_inf","exp_t_phi","exp_t_sci","exp_t_pol","exp_t_inf","exp_h_phi","exp_h_sci","exp_h_pol","exp_h_inf","violation","emo_angry","emo_outraged","emo_disgusted","emo_anxious","emo_afraid","emo_nervous","emo_enthusiastic","emo_hopeful","emo_proud","emo_relaxed","emo_peaceful","emo_calm","engage_like","engage_share","engage_petition","engage_attend","accept_phi","accept_sci","accept_pol","accept_inf","regulate_phi","regulate_sci","regulate_pol","regulate_inf","familiarity","experience","confidence","science_degree","science_course","science_course_num","open_ended","respondent_id","occupation","topic","model","label","logDuration"
"2025-04-29 10:11:04","2025-04-29 10:15:30","0","96.242.238.76","100",266,1,"2025-04-29 10:15:31","R_5N8nDHdAOy4DmZH","","","","","40.9477","-74.0672","anonymous","EN","18.003","49.379","50.685","4",1,1,"5","5","1","5","4","5","5","4","4","5","5","4","3","4","5","3","5","5","5","4","2","1","1","1","4","1","1","5","5","5","4","5","5","2","2","2","2","2","2","1","2","2","2","2","2","1","1","1","2","1","2","the survey was unique and interesting","iP4ed5ff85d6add039","biomedical scientist","animal welfare","MD","LB",5.5834963087817
"2025-04-29 10:13:46","2025-04-29 10:18:03","0","75.33.86.235","100",257,1,"2025-04-29 10:18:04","R_3Q74nX8LgQsVa5X","","","","","43.0158","-85.6331","anonymous","EN","5.827","14.305","15.702","6",1,1,"5","5","1","3","5","5","5","3","1","1","1","3","5","5","5","3","5","5","5","3","1","1","1","1","1","1","1","3","4","5","5","5","5","2","1","2","2","1","1","2","1","2","2","2","1","1","4","-1","2","2","","","iP88d1ad91f8958623","social media influencer","cancer care","MD","LB",5.54907608489522
"2025-04-29 10:11:34","2025-04-29 10:20:30","0","47.218.13.64","100",536,1,"2025-04-29 10:20:31","R_1lDP6ZRku840rta","","","","","32.4358","-99.7637","anonymous","EN","10.026","10.026","13.416","1",1,1,"4","4","3","3","4","3","2","1","3","4","2","1","4","2","3","2","4","2","2","4","1","3","4","4","3","3","4","2","1","2","3","2","3","-1","0","-1","-1","1","-1","0","-1","-2","-2","0","-1","0","1","-1","1","1","3","I believe AI should be closely observed in a non biased environment to keep individuals informed on the difference between AI and human interaction in every aspect of social media content creation.","iPa7312a26540045ac","social media influencer","cancer care","NM","UL",6.2841341610708
"2025-04-29 10:18:05","2025-04-29 10:22:27","0","68.179.150.42","100",262,1,"2025-04-29 10:22:28","R_3Sf4DSsRN7kXkPV","","","","","42.3313","-83.4656","anonymous","EN","7.342","7.342","20.507","1",1,1,"3","3","4","2","2","2","1","4","2","2","1","4","3","2","2","4","3","2","2","4","-1","2","2","3","3","2","3","1","1","1","1","2","2","-2","-2","0","0","-1","-1","-1","-1","2","2","2","2","0","1","-1","1","1","4","","iP7d17f066efd06af3","biomedical scientist","animal welfare","NM","UL",5.5683445037611
"2025-04-29 10:22:26","2025-04-29 10:27:05","0","172.59.190.146","100",279,1,"2025-04-29 10:27:06","R_1mlwqEoE0ceFQkg","","","","","42.0354","-87.737","anonymous","EN","8.291","12.303","13.232","4",1,1,"3","4","2","5","2","1","4","2","1","1","5","2","3","2","4","3","2","1","4","2","-2","5","4","5","3","3","3","1","1","1","1","1","3","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","2","1","1","1","1","4","Not very fond of AI!","iPcdbdb575a9017996","social media influencer","animal welfare","MD","LB",5.63121178182137
"2025-04-29 10:18:21","2025-04-29 10:28:44","0","73.72.161.182","100",622,1,"2025-04-29 10:28:45","R_1TXlIUtIfChuCj2","","","","","42.0382","-88.262","anonymous","EN","0","0","39.63","0",1,1,"5","4","2","4","4","2","2","4","5","3","4","4","5","3","4","4","4","3","2","4","-2","3","3","4","2","2","1","2","2","1","2","2","2","-1","-1","-1","-1","-1","1","-2","-2","1","-1","2","2","1","1","0","1","1","4","Using the word ""expect"" in your questioning is misleading. I can expect and want politicians to act morally, for example, but I can also believe or know that most will not.  ","iP637350da46cb7380","member of Congress","cancer care","MD","LB",6.43294009273918
"2025-04-29 10:23:25","2025-04-29 10:29:36","0","104.28.110.80","100",371,1,"2025-04-29 10:29:37","R_1kLD9TmisKMfSty","","","","","33.8229","-84.3535","anonymous","EN","17.569","17.569","18.492","1",1,1,"3","4","3","4","3","4","3","1","3","5","3","1","3","5","3","2","2","4","3","1","-1","2","2","3","3","3","3","1","2","2","3","3","3","-1","-2","-1","0","-2","-1","-1","1","1","2","1","0","-1","2","1","1","1","4","Thank you for this survey opportunity.","iP86e1629d38f168ba","biomedical scientist","cancer care","NM","UL",5.91620206260743
"2025-04-29 10:24:26","2025-04-29 10:31:51","0","98.207.136.143","100",445,1,"2025-04-29 10:31:52","R_1Qz55qJRNb6KycW","","","","","37.6864","-121.7654","anonymous","EN","0","0","19.681","0",1,1,"4","4","1","4","1","3","5","1","1","3","5","1","1","3","5","1","1","3","4","1","-2","4","3","4","2","2","2","1","2","2","1","2","2","0","0","0","0","-1","-1","-2","-1","2","2","2","2","1","1","1","1","1","4","","iPe7fc2f86226bc02b","member of Congress","cancer care","MD","UL",6.09807428216624
"2025-04-29 10:26:21","2025-04-29 10:38:56","0","174.209.32.84","100",754,1,"2025-04-29 10:38:56","R_3mztdNgt7IJPneo","","","","","41.8783","-87.6907","anonymous","EN","0","0","1.943","0",1,1,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","2","1","5","1","1","5","5","5","5","5","4","5","5","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","3","Great survey need better pay ","iP40cddfdaaad6e229","philanthropist","animal welfare","NM","LB",6.62539236800796
"2025-04-29 10:31:49","2025-04-29 10:40:57","0","172.56.14.114","100",547,1,"2025-04-29 10:40:57","R_5dyGKhd4d8FFzhP","","","","","38.5725","-121.4702","anonymous","EN","0","0","11.566","0",1,1,"5","5","2","4","4","3","4","3","4","3","3","3","4","3","3","3","5","3","3","3","0","2","3","2","3","1","1","3","3","3","3","3","3","0","-1","1","1","0","0","0","0","0","0","-1","0","1","4","0","2","","","Thank you","iPa843368a107bb14e","philanthropist","animal welfare","MD","LB",6.30444880242198
"2025-04-29 10:38:43","2025-04-29 10:40:59","0","172.58.164.148","100",136,1,"2025-04-29 10:41:00","R_3wiaAG4Xj4fXL2j","","","","","41.8835","-87.6305","anonymous","EN","0","0","7.532","0",1,1,"4","4","2","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","-2","5","5","5","5","5","5","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","2","1","1","2","2","","N/A","iPe4b33871abd6300b","member of Congress","cancer care","MD","UL",4.91265488573605
"2025-04-29 10:38:29","2025-04-29 10:42:01","0","38.78.217.211","100",211,1,"2025-04-29 10:42:01","R_6HtMvCDMAADN9x4","","","","","41.7028","-112.1777","anonymous","EN","0","0","21.643","0",1,1,"5","4","1","5","5","2","2","4","4","1","2","3","4","1","2","3","4","2","2","4","1","3","3","3","3","1","1","2","2","1","4","3","4","-2","-2","-1","-1","-1","-1","0","-1","0","1","0","0","2","1","0","1","1","4","","iP81043f2fedc1955b","biomedical scientist","animal welfare","MD","UL",5.35185813347607
"2025-04-29 10:38:25","2025-04-29 10:44:57","0","69.76.135.246","100",391,1,"2025-04-29 10:44:57","R_7s42sOdPxtTi329","","","","","32.8179","-96.6319","anonymous","EN","10.132","10.132","14.9","1",1,1,"5","5","5","5","2","2","2","5","2","2","2","5","2","2","2","5","1","2","2","5","0","2","2","2","3","2","2","3","3","3","3","3","3","2","2","2","1","-2","0","0","-1","2","2","2","2","2","1","2","2","1","2","","iPc65cf74e5b83e961","biomedical scientist","animal welfare","NM","LB",5.96870755998537
"2025-04-29 10:40:49","2025-04-29 10:47:06","0","172.56.71.102","100",376,1,"2025-04-29 10:47:06","R_1hWEjjaVefHSKfR","","","","","33.8231","-84.3258","anonymous","EN","35.034","35.034","35.887","1",1,1,"4","5","1","5","3","3","2","4","4","5","5","3","5","3","2","5","3","5","3","4","-2","1","1","1","1","1","1","2","4","3","3","3","3","1","1","2","1","1","-1","-2","1","1","-1","-2","2","2","1","1","2","2","","","iP269f0d9814447cfd","social media influencer","animal welfare","MD","UL",5.92958914338989
"2025-04-29 10:46:10","2025-04-29 10:48:54","0","35.151.139.7","100",163,1,"2025-04-29 10:48:54","R_7rBKYLABTOLP3ko","","","","","35.0742","-85.6261","anonymous","EN","0","0","2.739","0",1,1,"4","4","4","4","4","2","3","3","2","2","3","2","3","2","1","3","4","3","3","3","0","2","3","4","4","3","3","3","2","4","3","1","2","1","0","1","0","0","-1","-1","0","1","1","0","1","1","1","1","1","2","","None","iP420b8751905fc414","member of Congress","cancer care","NM","UL",5.09375020080676
"2025-04-29 10:45:26","2025-04-29 10:49:26","0","108.70.2.9","100",240,1,"2025-04-29 10:49:27","R_3CN0hpTgZEwqqQm","","","","","43.0475","-87.8964","anonymous","EN","29.628","29.628","30.857","1",1,1,"3","3","2","3","4","3","1","2","5","4","3","4","5","5","3","5","5","4","2","4","1","3","3","3","3","1","1","2","2","1","3","2","3","-1","-2","-1","-1","-1","0","0","-1","1","1","1","1","1","4","-1","2","1","2","No comment ","iP6d0bbf3b71301d2b","biomedical scientist","animal welfare","MD","LB",5.48063892334199
"2025-04-29 10:43:02","2025-04-29 10:49:38","0","23.248.167.53","100",395,1,"2025-04-29 10:49:38","R_5Rluo86IcZp3vZh","","","","","40.7126","-74.0066","anonymous","EN","0","0","10.176","0",1,1,"4","3","2","3","3","4","3","1","3","3","2","1","4","4","4","5","4","5","5","5","-2","3","3","4","3","3","4","2","2","1","1","2","2","0","0","0","0","1","-1","-1","0","1","1","1","1","2","1","1","1","1","4","I found the question about how much we expect each person to be honest and so forth a bit unclear, because there's a difference between how I feel about that idealistically (I expect everyone to be honest) versus how much I actually expect they will be. I have very little faith in politicians, so I ""expect"" that they won't be honest, but at the same time from an ethical perspective, I expect them to be completely honest. ","iPef6117f6d580f441","philanthropist","animal welfare","MD","UL",5.97888576490112
"2025-04-29 10:45:22","2025-04-29 10:49:46","0","76.155.115.206","100",263,1,"2025-04-29 10:49:46","R_5rAfpH5UeoSU0FB","","","","","39.8147","-105.1168","anonymous","EN","3.342","3.342","5.378","1",1,1,"4","4","3","3","1","3","3","1","3","3","2","1","3","2","3","1","3","3","3","1","-2","4","4","4","5","5","5","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","2","0","4","4","","","iPc4b2314c92f10dd9","philanthropist","cancer care","NM","LB",5.57215403217776
"2025-04-29 10:47:59","2025-04-29 10:50:50","0","172.56.103.241","100",171,1,"2025-04-29 10:50:51","R_5kFIgdyIrQZQ3Bs","","","","","27.935","-82.3772","anonymous","EN","0","0","1.092","0",1,1,"5","5","5","5","5","4","3","2","3","5","4","5","5","5","5","5","5","4","4","4","1","4","3","4","2","3","4","5","2","3","2","3","2","1","2","0","0","1","1","0","0","1","1","1","0","1","2","0","1","","","Nnnnbbbhb","iP6d4d4373e9d0ef22","social media influencer","animal welfare","MD","UL",5.14166355650266
"2025-04-29 10:46:07","2025-04-29 10:50:53","0","76.38.37.23","100",286,1,"2025-04-29 10:50:54","R_5F4YW2HxKSrNKoy","","","","","34.2563","-78.0447","anonymous","EN","0","0","7.378","0",1,1,"3","5","2","3","2","4","4","2","1","4","3","2","2","4","4","2","1","4","4","2","0","1","1","1","1","1","1","1","2","2","1","2","3","0","0","0","0","0","0","0","0","1","2","2","2","1","4","0","2","1","2","N/A","iP06e7950133e704ad","member of Congress","cancer care","NM","UL",5.65599181081985
"2025-04-29 10:39:32","2025-04-29 10:53:14","0","73.181.10.75","100",821,1,"2025-04-29 10:53:15","R_6TrsmQ426he47GF","","","","","39.6562","-104.7866","anonymous","EN","8.662","24.252","24.885","7",1,1,"4","3","4","4","4","3","2","4","5","2","1","3","5","4","3","5","4","4","2","3","-2","1","1","1","3","1","1","1","2","1","3","1","4","-2","-2","-2","-1","-2","0","1","-2","-1","-1","0","-2","1","2","-1","2","2","","","iP487bd658ca999392","philanthropist","cancer care","NM","LB",6.71052310945243
"2025-04-29 10:46:26","2025-04-29 10:53:25","0","96.45.96.30","100",418,1,"2025-04-29 10:53:25","R_1iHDnusaTmFVy9j","","","","","34.5746","-80.0459","anonymous","EN","12.692","44.718","45.294","4",1,1,"3","3","1","3","3","2","3","3","3","2","3","2","3","2","3","2","3","1","3","2","0","3","3","3","3","3","3","2","2","2","2","2","2","0","-2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","2","","No comment","iPea5b25ded326e206","philanthropist","animal welfare","MD","LB",6.03548143252476
"2025-04-29 10:52:39","2025-04-29 10:55:23","0","72.162.197.254","100",163,1,"2025-04-29 10:55:24","R_51KioG2fqqwGyb5","","","","","32.4413","-81.7711","anonymous","EN","0","0","7.9","0",1,1,"3","3","2","4","3","2","2","3","4","3","2","4","3","3","3","4","3","2","2","3","-1","2","3","2","2","1","2","1","1","1","3","1","3","0","0","0","0","0","0","0","0","2","2","2","2","1","1","0","1","1","4","","iPdf56bf05319022c8","social media influencer","cancer care","MD","LB",5.09375020080676
"2025-04-29 10:31:06","2025-04-29 10:55:25","0","65.35.57.154","100",1458,1,"2025-04-29 10:55:25","R_5dsR1ezvLqesQC6","","","","","28.3939","-81.4216","anonymous","EN","100.391","100.391","102.335","1",1,1,"5","5","5","5","3","1","1","1","3","1","1","1","3","1","1","1","3","1","1","1","-2","5","5","5","1","1","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","1","2","1","1","4","AI generated content is garbage and should never be used. Employ more artists to create the imagery and content you want to see. We don't need more technology replacing what could be done much better by skilled humans.","iPc0d1e5cb0a4d93da","social media influencer","cancer care","NM","UL",7.2848209125686
"2025-04-29 10:51:53","2025-04-29 10:59:14","0","67.212.35.86","100",441,1,"2025-04-29 10:59:15","R_5CD2i2uWHnxgQBD","","","","","33.7196","-78.9754","anonymous","EN","11.13","11.13","25.174","1",1,1,"2","3","1","4","5","4","2","5","3","3","4","3","5","5","5","5","5","5","5","5","-2","2","3","4","1","4","1","1","2","2","1","1","4","-2","-2","0","0","-1","-2","-2","0","2","2","2","2","1","1","0","2","2","","","iPf4333f0df7fb4408","philanthropist","animal welfare","MD","LB",6.08904487544685
"2025-04-29 11:01:01","2025-04-29 11:04:39","0","73.22.92.158","100",217,1,"2025-04-29 11:04:39","R_1iHiIOCNpieEIjD","","","","","42.1212","-87.8405","anonymous","EN","2.017","6.378","7.631","4",1,1,"4","4","4","4","3","4","3","1","1","5","4","1","2","2","2","2","2","5","2","2","-2","4","5","4","3","5","5","2","1","1","1","1","1","-2","-2","0","-2","2","-2","-2","-2","0","2","2","2","2","1","1","1","1","4","No, but this was a great survey!","iPfc2a5dc1fdb02f1d","philanthropist","cancer care","NM","LB",5.37989735354046
"2025-04-29 10:56:03","2025-04-29 11:06:52","0","75.89.103.103","100",648,1,"2025-04-29 11:06:52","R_5IZ2ubDym1U93Mp","","","","","34.7269","-92.344","anonymous","EN","0","0","39.762","0",1,1,"4","2","4","4","2","4","4","2","5","2","2","4","3","5","5","5","2","5","4","2","-2","1","2","4","3","3","4","1","2","1","2","1","2","2","2","1","1","0","-2","-2","-2","0","-1","-2","-2","1","1","1","2","1","2","No, thank you for the opportunity.","iP41586d535aa295dc","social media influencer","animal welfare","MD","UL",6.47389069635227
"2025-04-29 11:02:15","2025-04-29 11:06:54","0","174.99.105.106","100",279,1,"2025-04-29 11:06:55","R_1Qxo6j2ayenEAeC","","","","","36.1287","-79.4086","anonymous","EN","13.927","13.927","22.702","1",1,1,"4","4","2","4","3","3","3","3","3","3","3","3","4","3","2","3","3","3","3","3","0","1","1","1","2","1","1","3","3","3","3","3","4","0","0","0","0","1","1","1","1","1","1","1","1","0","2","0","2","2","","","iPfb4cf03f7670e7b6","member of Congress","animal welfare","NM","LB",5.63121178182137
"2025-04-29 11:02:30","2025-04-29 11:07:22","0","140.177.197.122","100",292,1,"2025-04-29 11:07:22","R_32DcYkckDSI2QMI","","","","","38.5423","-89.9588","anonymous","EN","0","0","16.268","0",1,1,"4","5","1","5","5","1","2","5","5","1","2","5","5","1","2","5","5","1","2","5","-2","5","5","5","4","5","5","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","2","1","1","2","2","","","iP66e484abd2e7deda","biomedical scientist","cancer care","NM","UL",5.67675380226828
"2025-04-29 11:02:13","2025-04-29 11:07:29","0","47.27.149.47","100",315,1,"2025-04-29 11:07:31","R_31Oj1zou1chH28x","","","","","40.5899","-98.3914","anonymous","EN","11.458","12.202","13.2","2",1,1,"4","2","3","3","3","2","3","2","3","3","3","3","4","2","3","1","3","2","3","1","-2","4","3","4","4","3","4","1","1","1","2","2","2","-2","-2","-2","-2","-2","0","-2","-2","2","0","2","2","1","1","1","2","2","","","iPb7978083161eb4b7","member of Congress","cancer care","NM","UL",5.75257263882563
"2025-04-29 10:58:08","2025-04-29 11:08:11","0","172.56.61.122","100",602,1,"2025-04-29 11:08:11","R_352WQQNun0a7dWF","","","","","29.7925","-95.3673","anonymous","EN","0","0","26.901","0",1,1,"4","3","2","3","3","4","2","4","4","4","5","3","2","4","2","3","3","4","2","3","1","3","4","4","3","3","4","2","2","2","2","1","2","-2","-1","1","0","0","-1","-2","0","1","1","2","2","0","1","-1","2","2","","","iPc3142d09c036d371","biomedical scientist","animal welfare","NM","UL",6.40025744530882
"2025-04-29 11:05:33","2025-04-29 11:12:09","0","174.210.230.193","100",396,1,"2025-04-29 11:12:09","R_6v08q6rpnApmP5C","","","","","42.3344","-83.1756","anonymous","EN","20.357","21.799","22.785","2",1,1,"3","3","2","4","5","4","1","2","5","4","2","2","5","4","2","2","5","3","2","2","-2","4","5","5","2","1","2","3","1","2","1","1","1","-1","-2","-1","-1","-2","-2","-2","-2","2","2","2","2","1","2","1","1","1","4","","iP5796f6c9eed9f51f","philanthropist","animal welfare","MD","LB",5.98141421125448
"2025-04-29 11:07:38","2025-04-29 11:13:17","0","107.122.225.106","100",338,1,"2025-04-29 11:13:18","R_6ciMsWWv5cBbnOw","","","","","35.8765","-96.0611","anonymous","EN","0","0","20.647","0",1,1,"4","3","2","3","2","3","3","3","2","2","2","2","3","3","3","3","3","2","4","2","2","5","5","5","5","4","4","2","1","1","1","1","1","-2","-2","-2","-2","-2","-2","0","-2","2","2","2","2","1","1","-1","2","2","","","iP481bdc94d1202c98","member of Congress","cancer care","NM","LB",5.82304589548302
"2025-04-29 11:10:40","2025-04-29 11:13:43","0","24.54.106.68","100",183,1,"2025-04-29 11:13:43","R_7ClxQQ4PmkLXgvY","","","","","32.4413","-81.7711","anonymous","EN","0","0","7.592","0",1,1,"4","5","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","4","3","4","3","3","3","1","2","1","2","1","3","-2","-2","0","0","0","0","0","0","1","1","1","1","2","1","1","2","2","","","iPe773e521facb0162","philanthropist","animal welfare","MD","UL",5.20948615284142
"2025-04-29 11:00:36","2025-04-29 11:15:38","0","172.119.171.84","100",902,1,"2025-04-29 11:15:39","R_508LGQPar2QaQgI","","","","","34.1008","-117.7678","anonymous","EN","0","0","39.766","0",1,1,"4","4","3","3","4","5","4","5","4","5","4","5","4","5","5","5","4","4","3","2","1","3","4","4","5","4","3","2","2","1","2","2","2","2","1","1","1","0","0","-1","0","2","2","2","2","1","1","-1","2","2","","If an image or content is AI, they should have to let it be known. More transparent. ","iP5aacf0a721070fb7","member of Congress","cancer care","MD","LB",6.80461452006262
"2025-04-29 11:02:34","2025-04-29 11:17:12","0","174.210.168.253","100",877,1,"2025-04-29 11:17:12","R_6U0faS1REFqkI7e","","","","","39.0857","-94.5362","anonymous","EN","7.704","9.728","11.866","3",1,1,"5","5","3","4","4","2","3","2","5","1","3","5","5","5","5","5","5","1","3","2","-1","1","1","1","1","1","1","2","1","1","4","3","4","-2","-2","-2","-2","-1","0","0","0","2","2","2","2","2","1","1","2","1","7","I’m indifferent on AI usage. ","iPda28a4faa945e7ae","philanthropist","cancer care","MD","LB",6.77650699237218
"2025-04-29 11:13:35","2025-04-29 11:18:24","0","68.200.93.73","100",288,1,"2025-04-29 11:18:24","R_67yD3dvZ9aRO6D6","","","","","28.0763","-82.4852","anonymous","EN","0","0","7.243","0",1,1,"1","3","4","3","2","3","5","2","2","3","5","1","3","4","4","2","2","3","5","2","2","4","3","2","3","2","1","1","1","1","1","1","1","-2","-2","0","0","-2","-2","-2","-2","2","2","2","2","1","1","0","3","1","3","","iP56993f55313c3499","biomedical scientist","animal welfare","MD","UL",5.66296048013595
"2025-04-29 11:16:20","2025-04-29 11:21:58","0","73.168.119.35","100",338,1,"2025-04-29 11:21:59","R_5HBLn2EysoiROyz","","","","","41.6984","-88.0825","anonymous","EN","0","0","13.914","0",1,1,"3","3","1","3","2","4","2","3","2","3","1","2","3","3","1","3","3","3","1","3","0","1","3","1","1","1","1","1","3","1","3","3","3","-2","-2","-2","-2","0","-1","-2","-1","1","1","2","1","-1","2","-1","2","2","","","iP64619e6de726eced","social media influencer","cancer care","NM","LB",5.82304589548302
"2025-04-29 11:17:00","2025-04-29 11:24:34","0","71.210.166.108","100",453,1,"2025-04-29 11:24:34","R_1gMzpk8rbYWEjUm","","","","","35.9904","-77.8468","anonymous","EN","0","0","22.051","0",1,1,"3","4","5","4","2","5","4","4","2","5","5","4","2","5","4","4","2","5","4","3","-2","2","1","3","2","1","1","1","2","1","3","3","3","-2","-2","-2","-1","-1","-2","-2","-2","2","2","2","2","2","1","1","1","1","4","None","iP2323a87d854d891a","philanthropist","animal welfare","MD","LB",6.11589212548303
"2025-04-29 11:16:27","2025-04-29 11:25:40","0","174.224.62.189","100",552,1,"2025-04-29 11:25:41","R_1Eg9jx31jFGya1S","","","","","42.5445","-83.2789","anonymous","EN","9.338","9.338","27.574","1",1,1,"5","3","2","2","2","1","1","1","3","2","2","2","2","1","1","1","2","1","1","1","-1","1","1","2","2","2","1","2","2","2","2","2","2","-1","0","-1","-1","-1","-1","0","-1","0","1","-1","-1","1","1","0","2","2","","","iP940f0c760c7c9968","biomedical scientist","cancer care","NM","UL",6.31354804627709
"2025-04-29 11:21:57","2025-04-29 11:25:45","0","69.40.225.148","100",227,1,"2025-04-29 11:25:45","R_6YbmMydB0jGKpy1","","","","","37.1531","-84.0986","anonymous","EN","9.909","9.909","14.15","1",1,1,"4","3","2","5","2","4","4","2","2","5","4","2","2","4","4","2","1","4","4","2","-2","2","2","3","1","2","1","1","1","1","3","1","5","-1","-2","2","1","-2","-2","-2","0","2","2","2","2","1","1","2","2","1","2","","iPe6ddeb540cf29205","social media influencer","cancer care","MD","LB",5.4249500174814
"2025-04-29 11:23:33","2025-04-29 11:30:20","0","24.245.132.156","100",406,1,"2025-04-29 11:30:20","R_37IMBIVlOQ18lJ7","","","","","33.4085","-94.1819","anonymous","EN","5.485","17.242","18.434","3",1,1,"5","5","3","5","3","4","3","3","4","4","4","4","5","5","5","5","4","4","4","4","1","1","1","1","1","1","1","4","4","3","4","4","4","2","2","1","1","1","1","1","1","1","1","1","1","2","1","0","2","2","","Interesting topic.","iP46526c1bdd4e1460","member of Congress","animal welfare","NM","UL",6.00635315960173
"2025-04-29 11:23:57","2025-04-29 11:30:30","0","172.56.222.240","100",392,1,"2025-04-29 11:30:30","R_3GDHV3pgvzdet5s","","","","","39.9612","-75.2303","anonymous","EN","0","0","15.966","0",1,1,"3","4","2","3","5","5","5","1","5","5","5","1","5","5","5","1","5","5","5","1","0","4","3","4","1","1","2","2","3","2","3","3","3","1","1","1","0","0","-1","0","0","2","2","2","2","1","1","-1","2","2","","","iP14300eb3c64cc64d","biomedical scientist","animal welfare","NM","UL",5.97126183979046
"2025-04-29 11:29:15","2025-04-29 11:35:39","0","47.33.224.169","100",384,1,"2025-04-29 11:35:39","R_3TuVhtdFKHPirje","","","","","43.1819","-83.7238","anonymous","EN","0","0","81.501","0",1,1,"2","2","3","4","1","1","1","4","1","1","1","5","1","1","1","4","1","1","1","5","-2","5","5","5","1","1","1","1","1","1","3","2","3","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","1","1","0","2","2","","","iP97a023abf2e26421","philanthropist","animal welfare","NM","LB",5.95064255258773
"2025-04-29 11:30:13","2025-04-29 11:36:49","0","174.211.168.86","100",396,1,"2025-04-29 11:36:50","R_1iA3YX3xeb7l6cF","","","","","27.96","-82.4614","anonymous","EN","12.047","14.429","14.464","2",1,1,"5","4","1","3","5","5","3","1","1","3","3","1","4","5","5","5","5","5","4","5","0","4","3","4","1","1","2","2","2","1","3","3","3","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","0","4","0","2","4","","Not at this time..AI is a very interesting concept. ","iP11b0d1fdd05d5c31","member of Congress","cancer care","MD","UL",5.98141421125448
"2025-04-29 11:34:50","2025-04-29 11:46:13","0","107.190.158.23","100",682,1,"2025-04-29 11:46:13","R_13eoW336cVIwcnA","","","","","34.0563","-78.8903","anonymous","EN","0","0","13.3","0",1,1,"3","3","4","1","4","4","3","4","2","2","3","3","3","3","3","3","4","4","3","4","0","1","1","1","3","1","2","3","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-2","4","-2","2","2","","","iPa63fa73c587a5ee6","social media influencer","cancer care","MD","LB",6.52502965784346
"2025-04-29 11:41:41","2025-04-29 11:53:31","0","172.56.96.91","100",709,1,"2025-04-29 11:53:32","R_5bZrrhv978tsYIx","","","","","27.9929","-82.403","anonymous","EN","0","0","49.836","0",1,1,"2","3","1","3","3","2","3","2","3","4","3","3","2","5","3","2","3","2","2","2","0","1","1","1","1","1","1","2","2","1","3","3","3","0","-2","0","0","1","0","1","0","1","2","1","0","-1","1","-2","2","","","Very interesting survey on AI, the technology is such now that you cannot distinguish between real and created.","iPc59a60d071bdbdfa","member of Congress","cancer care","MD","LB",6.56385552653213
"2025-04-29 11:53:18","2025-04-29 11:57:25","0","174.182.35.183","100",246,1,"2025-04-29 11:57:25","R_3PoITOCgHXJGhOt","","","","","39.5992","-86.13","anonymous","EN","0","0","8.5","0",1,1,"2","3","2","2","5","5","3","1","4","4","2","2","4","3","1","1","4","4","3","1","-2","4","4","4","2","4","3","1","2","2","1","2","3","-2","-2","-1","-2","-2","-2","1","-2","-1","-1","0","0","1","1","1","2","1","2","","iP2e43f6b87257b45e","member of Congress","animal welfare","NM","LB",5.50533153593236
